timestamp,object_id,forecast_mwh
2026-04-01 18:15:00,OBJ_1011,1.3813
2026-04-02 12:30:00,OBJ_1010,5.0375
2026-04-02 04:15:00,OBJ_1012,5.2409
2026-04-03 11:00:00,OBJ_1001,3.7256
2026-04-01 11:15:00,OBJ_1007,3.0532
2026-04-03 14:15:00,OBJ_1012,12.7289
2026-04-01 02:15:00,OBJ_1014,2.9693
2026-04-02 13:15:00,OBJ_1014,2.9314
2026-04-01 09:30:00,OBJ_1004,1.1509
2026-04-01 10:45:00,OBJ_1010,2.8084
2026-04-02 15:00:00,OBJ_1001,3.9561
2026-04-02 05:15:00,OBJ_1009,0.0
2026-04-02 11:15:00,OBJ_1014,1.7067
2026-04-01 04:30:00,OBJ_1002,7.368
2026-04-03 10:30:00,OBJ_1005,-1.1478
2026-04-01 05:45:00,OBJ_1006,0.0
2026-04-02 07:45:00,OBJ_1002,6.158
2026-04-03 14:15:00,OBJ_1005,-1.1045
2026-04-03 03:30:00,OBJ_1007,4.6274
2026-04-02 19:00:00,OBJ_1011,1.0904
2026-04-01 13:00:00,OBJ_1011,-1.521
2026-04-01 16:00:00,OBJ_1001,3.0442
2026-04-01 03:00:00,OBJ_1002,7.4331
2026-04-01 18:00:00,OBJ_1006,1.668
2026-04-02 17:00:00,OBJ_1004,1.3003
2026-04-02 11:30:00,OBJ_1012,13.1235
2026-04-03 09:30:00,OBJ_1008,8.8921
2026-04-01 12:00:00,OBJ_1001,3.8185
2026-04-03 15:30:00,OBJ_1005,0.9283
2026-04-02 20:45:00,OBJ_1007,3.3879
2026-04-03 10:15:00,OBJ_1012,14.1642
2026-04-02 18:30:00,OBJ_1011,1.0459
2026-04-02 01:30:00,OBJ_1014,2.3394
2026-04-02 11:00:00,OBJ_1009,5.2657
2026-04-01 10:30:00,OBJ_1005,-1.1654
2026-04-03 08:30:00,OBJ_1002,4.6342
2026-04-01 17:00:00,OBJ_1007,4.653
2026-04-03 04:00:00,OBJ_1004,1.1418
2026-04-01 02:15:00,OBJ_1009,0.0
2026-04-01 01:00:00,OBJ_1011,1.1959
2026-04-02 05:30:00,OBJ_1012,4.1816
2026-04-03 01:45:00,OBJ_1014,2.4615
2026-04-02 11:00:00,OBJ_1014,1.6915
2026-04-03 10:30:00,OBJ_1011,-1.5533
2026-04-01 08:00:00,OBJ_1009,2.318
2026-04-02 14:00:00,OBJ_1014,3.4673
2026-04-02 09:45:00,OBJ_1004,1.2368
2026-04-03 17:15:00,OBJ_1006,2.3308
2026-04-03 11:15:00,OBJ_1007,2.6331
2026-04-01 18:45:00,OBJ_1002,6.3085
2026-04-03 09:45:00,OBJ_1006,2.9929
2026-04-03 13:30:00,OBJ_1006,3.7906
2026-04-01 11:00:00,OBJ_1014,1.9147
2026-04-02 17:15:00,OBJ_1004,1.0798
2026-04-01 14:45:00,OBJ_1006,3.5557
2026-04-02 04:45:00,OBJ_1007,4.6321
2026-04-03 21:45:00,OBJ_1007,2.9202
2026-04-01 13:45:00,OBJ_1004,1.3354
2026-04-02 21:45:00,OBJ_1008,10.2142
2026-04-01 12:15:00,OBJ_1012,16.321
2026-04-01 10:45:00,OBJ_1005,-0.764
2026-04-03 09:15:00,OBJ_1014,1.7687
2026-04-02 00:00:00,OBJ_1012,5.9073
2026-04-03 09:00:00,OBJ_1010,3.209
2026-04-02 15:45:00,OBJ_1004,1.0855
2026-04-03 09:30:00,OBJ_1006,3.208
2026-04-02 05:30:00,OBJ_1008,3.9509
2026-04-02 00:30:00,OBJ_1002,5.1584
2026-04-02 11:15:00,OBJ_1008,11.4514
