timestamp,object_id,forecast_mwh,dq_flags,has_dq_issue
2026-04-01 18:15:00,OBJ_1011,1.3813,,False
2026-04-02 12:30:00,OBJ_1010,5.0375,,False
2026-04-02 04:15:00,OBJ_1012,5.2409,,False
2026-04-03 11:00:00,OBJ_1001,3.7256,,False
2026-04-01 11:15:00,OBJ_1007,3.0532,,False
2026-04-03 14:15:00,OBJ_1012,12.7289,,False
2026-04-01 02:15:00,OBJ_1014,2.9693,,False
2026-04-02 13:15:00,OBJ_1014,2.9314,,False
2026-04-01 09:30:00,OBJ_1004,1.1509,,False
2026-04-01 10:45:00,OBJ_1010,2.8084,,False
2026-04-02 15:00:00,OBJ_1001,3.9561,,False
2026-04-02 05:15:00,OBJ_1009,0.0,,False
2026-04-02 11:15:00,OBJ_1014,1.7067,,False
2026-04-01 04:30:00,OBJ_1002,7.368,,False
2026-04-03 10:30:00,OBJ_1005,-1.1478,,False
2026-04-01 05:45:00,OBJ_1006,0.0,,False
2026-04-02 07:45:00,OBJ_1002,6.158,,False
2026-04-03 14:15:00,OBJ_1005,-1.1045,,False
2026-04-03 03:30:00,OBJ_1007,4.6274,,False
2026-04-02 19:00:00,OBJ_1011,1.0904,,False
2026-04-01 13:00:00,OBJ_1011,-1.521,,False
2026-04-01 16:00:00,OBJ_1001,3.0442,,False
2026-04-01 03:00:00,OBJ_1002,7.4331,,False
2026-04-01 18:00:00,OBJ_1006,1.668,,False
2026-04-02 17:00:00,OBJ_1004,1.3003,,False
2026-04-02 11:30:00,OBJ_1012,13.1235,,False
2026-04-03 09:30:00,OBJ_1008,8.8921,,False
2026-04-01 12:00:00,OBJ_1001,3.8185,,False
2026-04-03 15:30:00,OBJ_1005,0.9283,,False
2026-04-02 20:45:00,OBJ_1007,3.3879,,False
2026-04-03 10:15:00,OBJ_1012,14.1642,,False
2026-04-02 18:30:00,OBJ_1011,1.0459,,False
2026-04-02 01:30:00,OBJ_1014,2.3394,,False
2026-04-02 11:00:00,OBJ_1009,5.2657,,False
2026-04-01 10:30:00,OBJ_1005,-1.1654,,False
2026-04-03 08:30:00,OBJ_1002,4.6342,,False
2026-04-01 17:00:00,OBJ_1007,4.653,,False
2026-04-03 04:00:00,OBJ_1004,1.1418,,False
2026-04-01 02:15:00,OBJ_1009,0.0,,False
2026-04-01 01:00:00,OBJ_1011,1.1959,,False
2026-04-02 05:30:00,OBJ_1012,4.1816,,False
2026-04-03 01:45:00,OBJ_1014,2.4615,,False
2026-04-02 11:00:00,OBJ_1014,1.6915,,False
2026-04-03 10:30:00,OBJ_1011,-1.5533,,False
2026-04-01 08:00:00,OBJ_1009,2.318,,False
2026-04-02 14:00:00,OBJ_1014,3.4673,,False
2026-04-02 09:45:00,OBJ_1004,1.2368,,False
2026-04-03 17:15:00,OBJ_1006,2.3308,,False
2026-04-03 11:15:00,OBJ_1007,2.6331,,False
2026-04-01 18:45:00,OBJ_1002,6.3085,,False
2026-04-03 09:45:00,OBJ_1006,2.9929,,False
2026-04-03 13:30:00,OBJ_1006,3.7906,,False
2026-04-01 11:00:00,OBJ_1014,1.9147,,False
2026-04-02 17:15:00,OBJ_1004,1.0798,,False
2026-04-01 14:45:00,OBJ_1006,3.5557,,False
2026-04-02 04:45:00,OBJ_1007,4.6321,,False
2026-04-03 21:45:00,OBJ_1007,2.9202,,False
2026-04-01 13:45:00,OBJ_1004,1.3354,,False
2026-04-02 21:45:00,OBJ_1008,10.2142,,False
2026-04-01 12:15:00,OBJ_1012,16.321,,False
2026-04-01 10:45:00,OBJ_1005,-0.764,,False
2026-04-03 09:15:00,OBJ_1014,1.7687,,False
2026-04-02 00:00:00,OBJ_1012,5.9073,,False
2026-04-03 09:00:00,OBJ_1010,3.209,,False
2026-04-02 15:45:00,OBJ_1004,1.0855,,False
2026-04-03 09:30:00,OBJ_1006,3.208,,False
2026-04-02 05:30:00,OBJ_1008,3.9509,,False
2026-04-02 00:30:00,OBJ_1002,5.1584,,False
2026-04-02 11:15:00,OBJ_1008,11.4514,,False
2026-04-01 01:45:00,OBJ_1008,3.6221,,False
2026-04-02 04:00:00,OBJ_1004,0.9724,,False
2026-04-03 23:00:00,OBJ_1011,1.4886,,False
2026-04-02 02:45:00,OBJ_1006,0.0,,False
2026-04-02 21:15:00,OBJ_1006,0.0,,False
2026-04-03 21:00:00,OBJ_1008,9.0057,,False
2026-04-02 04:00:00,OBJ_1008,3.3931,,False
2026-04-03 02:30:00,OBJ_1006,0.0,,False
2026-04-01 12:30:00,OBJ_1009,5.4837,,False
2026-04-03 07:30:00,OBJ_1007,4.9759,,False
2026-04-02 11:45:00,OBJ_1002,4.24,,False
2026-04-01 01:30:00,OBJ_1008,3.4464,,False
2026-04-01 13:15:00,OBJ_1014,3.1652,,False
2026-04-03 07:00:00,OBJ_1011,1.3434,,False
2026-04-01 04:30:00,OBJ_1014,2.961,,False
2026-04-02 03:30:00,OBJ_1004,1.3489,,False
2026-04-01 20:00:00,OBJ_1009,0.0,,False
2026-04-03 08:00:00,OBJ_1011,0.9356,,False
2026-04-02 22:00:00,OBJ_1006,0.0,,False
2026-04-03 01:45:00,OBJ_1012,4.702,,False
2026-04-03 01:00:00,OBJ_1010,5.8178,,False
2026-04-03 22:45:00,OBJ_1008,3.1385,,False
2026-04-02 18:15:00,OBJ_1005,0.5888,,False
2026-04-03 12:15:00,OBJ_1002,5.9684,,False
2026-04-02 01:15:00,OBJ_1002,6.336,,False
2026-04-01 05:45:00,OBJ_1002,6.1535,,False
2026-04-02 23:15:00,OBJ_1014,1.8976,,False
2026-04-03 21:30:00,OBJ_1009,0.0,,False
2026-04-02 12:30:00,OBJ_1007,3.6124,,False
2026-04-03 11:45:00,OBJ_1007,2.7989,,False
2026-04-01 10:30:00,OBJ_1010,2.6069,,False
2026-04-02 00:45:00,OBJ_1005,0.723,,False
2026-04-03 19:30:00,OBJ_1010,5.4318,,False
2026-04-03 05:00:00,OBJ_1012,4.906,,False
2026-04-03 21:45:00,OBJ_1012,17.0289,,False
2026-04-02 01:15:00,OBJ_1004,1.1599,,False
2026-04-01 05:00:00,OBJ_1006,0.0,,False
2026-04-01 12:30:00,OBJ_1004,1.1633,,False
2026-04-02 22:00:00,OBJ_1010,2.6439,,False
2026-04-02 22:30:00,OBJ_1012,5.5697,,False
2026-04-02 21:45:00,OBJ_1007,2.4138,,False
2026-04-01 00:45:00,OBJ_1005,0.6913,,False
2026-04-02 04:45:00,OBJ_1012,4.868,,False
2026-04-02 22:30:00,OBJ_1004,1.1928,,False
2026-04-03 15:15:00,OBJ_1006,3.7299,,False
2026-04-03 04:00:00,OBJ_1010,6.5754,,False
2026-04-02 13:30:00,OBJ_1004,1.3387,,False
2026-04-01 03:30:00,OBJ_1012,4.3991,,False
