timestamp,object_id,actual_mwh,dq_flags,has_dq_issue
2026-04-02 00:45:00,OBJ_1002,5.7876,,False
2026-04-02 00:45:00,OBJ_1006,0.0,,False
2026-04-02 04:00:00,OBJ_1006,0.0,,False
2026-04-01 05:00:00,OBJ_1007,4.211,,False
2026-04-01 20:15:00,OBJ_1014,2.3023,,False
2026-04-02 18:45:00,OBJ_1001,1.1528,,False
2026-04-03 02:45:00,OBJ_1007,4.3472,,False
2026-04-01 17:30:00,OBJ_1001,2.2537,,False
2026-04-01 08:45:00,OBJ_1009,3.2718,,False
2026-04-03 16:45:00,OBJ_1002,6.3609,,False
2026-04-03 07:15:00,OBJ_1010,5.5423,,False
2026-04-03 06:30:00,OBJ_1010,5.1008,,False
2026-04-01 02:45:00,OBJ_1010,6.2214,,False
2026-04-01 10:45:00,OBJ_1005,-1.1619,,False
2026-04-02 08:45:00,OBJ_1011,1.0761,,False
2026-04-01 09:15:00,OBJ_1008,12.0276,,False
2026-04-02 04:00:00,OBJ_1009,0.0,,False
2026-04-01 03:00:00,OBJ_1014,3.07,,False
2026-04-01 10:15:00,OBJ_1007,2.2513,,False
2026-04-01 19:45:00,OBJ_1001,0.2346,,False
2026-04-03 23:45:00,OBJ_1002,4.5243,,False
2026-04-03 23:30:00,OBJ_1010,3.2235,,False
2026-04-01 07:45:00,OBJ_1006,1.5486,,False
2026-04-02 14:15:00,OBJ_1009,5.1939,,False
2026-04-03 01:45:00,OBJ_1011,1.3614,,False
2026-04-01 20:15:00,OBJ_1011,1.2449,,False
2026-04-03 15:15:00,OBJ_1012,15.5082,,False
2026-04-03 10:15:00,OBJ_1011,-1.7929,,False
2026-04-03 02:15:00,OBJ_1010,5.9984,,False
2026-04-02 06:00:00,OBJ_1006,0.0,,False
2026-04-03 17:45:00,OBJ_1006,1.8685,,False
2026-04-01 01:15:00,OBJ_1011,1.3108,,False
2026-04-02 09:30:00,OBJ_1011,0.948,,False
2026-04-03 13:00:00,OBJ_1011,-1.546,,False
2026-04-01 22:00:00,OBJ_1007,2.3665,,False
