timestamp,object_id,client_id,object_type,area,actual_mwh,forecast_mwh,abs_error,is_valid_record,data_quality_issue
2026-04-01 00:00:00,1001,,,,0.05,,,False,missing_object_metadata|no_forecast
2026-04-01 00:00:00,OBJ_1001,CL_01,solar,LV,0.0,0.0,0.0,True,
2026-04-01 00:00:00,OBJ_1002,CL_01,wind,LV,4.4628,4.7599,0.2971,True,
2026-04-01 00:00:00,OBJ_1003,CL_02,consumer,EE,2.281,1.6838,0.5972,False,inactive_object|inactive_object|inactive_object
2026-04-01 00:00:00,OBJ_1004,,hydro,LT,,1.1484,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 00:00:00,OBJ_1005,CL_03,bess,,0.71,0.667,0.043,True,missing_area
2026-04-01 00:00:00,OBJ_1006,CL_04,solar,LV,0.0,0.0,0.0,False,negative_capacity
2026-04-01 00:00:00,OBJ_1007,CL_02,wind,EE,3.675,3.1714,0.5036,True,
2026-04-01 00:00:00,OBJ_1008,CL_05,consumer,LT,4.015,2.7636,1.2514,True,
2026-04-01 00:00:00,OBJ_1009,CL_05,solar,LV,0.0,0.0,0.0,True,
2026-04-01 00:00:00,OBJ_1010,CL_06,wind,EE,3.7952,4.4101,0.6149,True,
2026-04-01 00:00:00,OBJ_1011,CL_06,bess,LT,1.1532,1.2859,0.1327,True,
2026-04-01 00:00:00,OBJ_1012,CL_07,consumer,LV,4.0596,6.2997,2.2401,True,
2026-04-01 00:00:00,OBJ_1014,CL_08,wind,EE,2.1764,2.1847,0.0083,True,
2026-04-01 00:00:00,OBJ_9999,,,,0.0,0.0,0.0,False,missing_object_metadata
2026-04-01 00:15:00,OBJ_1001,CL_01,solar,LV,0.0,0.0,0.0,True,
2026-04-01 00:15:00,OBJ_1002,CL_01,wind,LV,4.4651,,,True,no_forecast
2026-04-01 00:15:00,OBJ_1003,CL_02,consumer,EE,2.3035,2.1278,0.1757,False,inactive_object|inactive_object|inactive_object
2026-04-01 00:15:00,OBJ_1004,,hydro,LT,,1.3361,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 00:15:00,OBJ_1005,CL_03,bess,,0.6795,0.8804,0.2009,True,missing_area
2026-04-01 00:15:00,OBJ_1006,CL_04,solar,LV,0.0,0.0,0.0,False,negative_capacity
2026-04-01 00:15:00,OBJ_1007,CL_02,wind,EE,3.4866,3.483,0.0036,True,
2026-04-01 00:15:00,OBJ_1008,CL_05,consumer,LT,3.3307,3.2545,0.0762,True,
2026-04-01 00:15:00,OBJ_1009,CL_05,solar,LV,0.0,0.0,0.0,True,
2026-04-01 00:15:00,OBJ_1010,CL_06,wind,EE,4.6834,4.9173,0.2339,True,
