timestamp,object_id,client_id,object_type,area,actual_mwh,forecast_mwh,abs_error,is_valid_record,data_quality_issue
2026-04-01 00:00:00,1001,,,,0.05,,,False,missing_object_metadata|no_forecast
2026-04-01 00:00:00,OBJ_1003,CL_02,consumer,EE,2.281,1.6838,0.5972,False,inactive_object|inactive_object|inactive_object
2026-04-01 00:00:00,OBJ_1004,,hydro,LT,,1.1484,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 00:00:00,OBJ_1005,CL_03,bess,,0.71,0.667,0.043,True,missing_area
2026-04-01 00:00:00,OBJ_1006,CL_04,solar,LV,0.0,0.0,0.0,False,negative_capacity
2026-04-01 00:00:00,OBJ_9999,,,,0.0,0.0,0.0,False,missing_object_metadata
2026-04-01 00:15:00,OBJ_1002,CL_01,wind,LV,4.4651,,,True,no_forecast
2026-04-01 00:15:00,OBJ_1003,CL_02,consumer,EE,2.3035,2.1278,0.1757,False,inactive_object|inactive_object|inactive_object
2026-04-01 00:15:00,OBJ_1004,,hydro,LT,,1.3361,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 00:15:00,OBJ_1005,CL_03,bess,,0.6795,0.8804,0.2009,True,missing_area
2026-04-01 00:15:00,OBJ_1006,CL_04,solar,LV,0.0,0.0,0.0,False,negative_capacity
2026-04-01 00:15:00,OBJ_9999,,,,0.0,0.0,0.0,False,missing_object_metadata
2026-04-01 00:30:00,OBJ_1003,CL_02,consumer,EE,1.6232,1.6056,0.0176,False,inactive_object|inactive_object|inactive_object
2026-04-01 00:30:00,OBJ_1004,,hydro,LT,,0.9932,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 00:30:00,OBJ_1005,CL_03,bess,,0.9829,0.8574,0.1255,True,missing_area
2026-04-01 00:30:00,OBJ_1006,CL_04,solar,LV,0.0,0.0,0.0,False,negative_capacity
2026-04-01 00:30:00,OBJ_9999,,,,0.0,0.0,0.0,False,missing_object_metadata
2026-04-01 00:45:00,OBJ_1001,CL_01,solar,LV,,0.0,,True,no_actual
2026-04-01 00:45:00,OBJ_1003,CL_02,consumer,EE,1.7542,2.3601,0.6059,False,inactive_object|inactive_object|inactive_object
2026-04-01 00:45:00,OBJ_1004,,hydro,LT,,1.012,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 00:45:00,OBJ_1005,CL_03,bess,,0.8208,0.6913,0.1295,True,missing_area
2026-04-01 00:45:00,OBJ_1006,CL_04,solar,LV,0.0,0.0,0.0,False,negative_capacity
2026-04-01 00:45:00,OBJ_9999,,,,0.0,0.0,0.0,False,missing_object_metadata
2026-04-01 01:00:00,OBJ_1003,CL_02,consumer,EE,2.2663,1.8255,0.4408,False,inactive_object|inactive_object|inactive_object
2026-04-01 01:00:00,OBJ_1004,,hydro,LT,,0.9572,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 01:00:00,OBJ_1005,CL_03,bess,,0.6404,0.7752,0.1348,True,missing_area
2026-04-01 01:00:00,OBJ_1006,CL_04,solar,LV,0.0,0.0,0.0,False,negative_capacity
2026-04-01 01:00:00,OBJ_9999,,,,0.0,0.0,0.0,False,missing_object_metadata
2026-04-01 01:15:00,OBJ_1003,CL_02,consumer,EE,2.2696,1.9514,0.3182,False,inactive_object|inactive_object|inactive_object
2026-04-01 01:15:00,OBJ_1004,,hydro,LT,,1.1534,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 01:15:00,OBJ_1005,CL_03,bess,,0.8917,0.6047,0.287,True,missing_area
2026-04-01 01:15:00,OBJ_1006,CL_04,solar,LV,0.0,0.0,0.0,False,negative_capacity
2026-04-01 01:15:00,OBJ_9999,,,,0.0,0.0,0.0,False,missing_object_metadata
2026-04-01 01:30:00,OBJ_1003,CL_02,consumer,EE,1.7996,1.6009,0.1987,False,inactive_object|inactive_object|inactive_object
2026-04-01 01:30:00,OBJ_1004,,hydro,LT,,1.0464,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 01:30:00,OBJ_1005,CL_03,bess,,0.7262,0.7191,0.0071,True,missing_area
2026-04-01 01:30:00,OBJ_1006,CL_04,solar,LV,0.0,0.0,0.0,False,negative_capacity
2026-04-01 01:30:00,OBJ_9999,,,,0.0,0.0,0.0,False,missing_object_metadata
2026-04-01 01:45:00,OBJ_1003,CL_02,consumer,EE,1.9652,2.3209,0.3557,False,inactive_object|inactive_object|inactive_object
2026-04-01 01:45:00,OBJ_1004,,hydro,LT,,1.1845,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 01:45:00,OBJ_1005,CL_03,bess,,0.6987,0.6688,0.0299,True,missing_area
2026-04-01 01:45:00,OBJ_1006,CL_04,solar,LV,0.0,0.0,0.0,False,negative_capacity
2026-04-01 01:45:00,OBJ_9999,,,,0.0,0.0,0.0,False,missing_object_metadata
2026-04-01 02:00:00,OBJ_1004,,hydro,LT,,1.0576,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 02:00:00,OBJ_1005,CL_03,bess,,0.6439,0.6972,0.0533,True,missing_area
2026-04-01 02:00:00,OBJ_1006,CL_04,solar,LV,0.0,0.0,0.0,False,negative_capacity
2026-04-01 02:00:00,OBJ_9999,,,,0.0,0.0,0.0,False,missing_object_metadata
2026-04-01 02:15:00,OBJ_1004,,hydro,LT,,1.2298,,False,missing_client_id|missing_object_metadata|no_actual
2026-04-01 02:15:00,OBJ_1005,CL_03,bess,,0.8883,0.9129,0.0246,True,missing_area
